,Estrategia,Categoría,CAGR IS,CAGR OOS,Alpha IS,Alpha OOS,Sharpe IS,Sharpe OOS,MaxDD IS,MaxDD OOS,$100 1yr
18,ETF_GTAA_L12_top1,ETF Rotation,0.039633036963720114,0.24802024337476802,-0.09293157958874243,0.08941727637680286,0.06841977356118124,1.1298758444494712,-0.34202226812491243,-0.2635641354249709,124.80202433747681
19,MOM_L3_S0_T10,Momentum CS,0.2002647633714134,0.23667526959381835,0.06770014681895087,0.07807230259585318,1.216081426171211,0.9629521372375737,-0.15783179219545196,-0.18089544292444126,123.66752695938183
20,MOM_TREND_L6_T10_MA12,Momentum+Trend,0.1515538214930534,0.23633404495954302,0.018989204940590865,0.07773107796157785,0.8733077738983012,1.059245720908407,-0.18187087526375267,-0.1278585816477319,123.6334044959543
21,MOM_TREND_L12_T10_MA12,Momentum+Trend,0.1365189869842791,0.23629714621481135,0.003954370431816567,0.07769417921684618,0.7810092275500907,1.0716751478845061,-0.19114280358541103,-0.12397342259522925,123.62971462148113
22,MOM_L6_S0_T20,Momentum CS,0.18540884841102678,0.2301492427342018,0.05284423185856424,0.07154627573623662,1.1748433266055425,0.9693568973959075,-0.15936450238810385,-0.20264849022469844,123.01492427342018
23,DUALMOM_L3_EFA_TLT,Dual Momentum,0.2939714354515788,0.2255145883478442,0.16140681889911623,0.06691162134987905,2.1450852588031446,1.0795109997085388,-0.04380691449091478,-0.29736445136767475,122.55145883478443
24,TREND_QQQ_MA18_cash,Trend Following,0.15426319498673569,0.2220227948963056,0.02169857843427314,0.06341982789834044,0.8346235333082589,0.9713646399562069,-0.1696772753308472,-0.21166963225987812,122.20227948963056
25,MOM_L12_S0_T20,Momentum CS,0.18393582995125124,0.22054450236124312,0.051371213398788695,0.061941535363277955,1.1068412259795086,0.9462239112774247,-0.18238846712501422,-0.18283304186422578,122.05445023612431
26,MOM_L9_S0_T20,Momentum CS,0.19080191311698846,0.2190199665257675,0.05823729656452592,0.06041699952780233,1.1762572627589714,0.9310023018008935,-0.18595172811423055,-0.19105024791005787,121.90199665257676
27,CONTRARIAN_L1_B10,Contrarian,0.18667149539404826,0.2054916991489666,0.054106878841585715,0.04688873215100142,0.8702697613897324,0.7563129827982881,-0.2685403819518364,-0.2974408466871694,120.54916991489665
28,MOM_L3_S0_T20,Momentum CS,0.17910933842366683,0.203812003500361,0.046544721871204287,0.04520903650239583,1.1606488307713994,0.896587940021385,-0.1429131295903232,-0.17654643337093856,120.3812003500361
29,MOM_L9_S1_T20,Momentum CS,0.18926171061583164,0.20349991383606247,0.05669709406336909,0.04489694683809731,1.0943169896151892,0.8449404297369534,-0.21551106112295138,-0.1910320763384551,120.34999138360625
30,CONTRARIAN_L3_B10,Contrarian,0.19347612915743584,0.20064664864506887,0.060911512604973295,0.0420436816471037,0.8674057399980678,0.6955722690972337,-0.2767671056211465,-0.2793320967192271,120.06466486450688
31,MOM_L12_S1_T20,Momentum CS,0.1740126154041588,0.20007117111102635,0.041447998851696255,0.04146820411306118,0.9943652533467018,0.8528836746752546,-0.21072345347705712,-0.19713100468145617,120.00711711110263
32,MOM_L6_S1_T20,Momentum CS,0.17734728967784918,0.19964967793421007,0.04478267312538664,0.0410467109362449,1.0485598537219063,0.8399986045019071,-0.19072630205062724,-0.1917970392889704,119.96496779342101
33,ETF_Sectores_L12_top1,ETF Rotation,0.04168238827122228,0.19907802069062885,-0.09088222828124026,0.04047505369266369,0.08099375320273142,0.7044108825811702,-0.26744123241567064,-0.2223309506637765,119.90780206906288
34,TREND_QQQ_MA18_TLT,Trend Following,0.15785331887477771,0.19778859397081727,0.02528870232231517,0.039185626972852106,0.8572093362952787,0.8132276122521063,-0.1696772753308473,-0.358197449793219,119.77885939708173
35,DUALMOM_L3_VT_TLT,Dual Momentum,0.27715153223566724,0.19715292018113129,0.1445869156832047,0.03854995318316612,2.0392780849725547,0.9763418485688192,-0.04380691449091478,-0.29736445136767486,119.71529201811313
36,MOM_L9_S0_T30,Momentum CS,0.17718861286879029,0.19711838664606418,0.04462399631632774,0.038515419648099014,1.1236440512492507,0.8734188467915973,-0.18090395271414317,-0.19005715833041636,119.71183866460642
37,ETF_Sectores_L12_top2,ETF Rotation,0.08036276709196755,0.19663336062346004,-0.052201849460495,0.038030393625494874,0.3790016281608224,0.880133371491901,-0.22130695048885107,-0.17069490653485264,119.663336062346
38,TREND_QQQ_MA10_cash,Trend Following,0.12615632246139974,0.19622028966602367,-0.006408294091062805,0.037617322668058506,0.7365208904900539,0.9857037745018101,-0.1739429141140585,-0.12901919032177367,119.62202896660237
39,ETF_Sectores_L3_top2,ETF Rotation,0.08690229162443974,0.1950269505695923,-0.0456623249280228,0.03642398357162713,0.4285254404843531,0.8258117284393351,-0.18697271800113102,-0.17069490653485264,119.50269505695923
40,SEASONAL_AvoidSep,Seasonal,0.13763975730908706,0.19447694294619922,0.005075140756624519,0.03587397594823405,0.859434460835935,0.937346676161651,-0.13532096510205505,-0.19981335962817948,119.44769429461992
41,ETF_MultiAsset_L12_top1,ETF Rotation,0.033540071031698426,0.19414520595111573,-0.09902454552076412,0.03554223895315056,0.030919607487030987,0.854183170526275,-0.3061556307708838,-0.30843016476299057,119.41452059511157
42,MOM_L3_S1_T20,Momentum CS,0.1891439820524068,0.1932795974772541,0.056579365499944245,0.03467663047928893,1.1427125346632294,0.8239860553154373,-0.13624717876177006,-0.20828956776829355,119.32795974772542
43,MOM_L6_S0_T30,Momentum CS,0.1784262462617956,0.19283895352058122,0.04586162970933305,0.03423598652261606,1.162822035245094,0.8356457614069525,-0.14554784432756918,-0.21203791506538427,119.28389535205812
44,MOM_L3_S0_T30,Momentum CS,0.17722787662317563,0.19106888682337986,0.044663260070713084,0.03246591982541469,1.1721117211571437,0.860132466353093,-0.13543245736557785,-0.17986705950948467,119.10688868233798
45,MOM_L12_S0_T30,Momentum CS,0.17418611433228604,0.18983176633237342,0.04162149777982349,0.031228799334408253,1.0871379617566514,0.8577156640402899,-0.18557275446271793,-0.1821468492828483,118.98317663323735
46,ETF_Sectores_L1_top3,ETF Rotation,0.08775932487790383,0.18935703432808348,-0.04480529167455871,0.030754067330118318,0.47325142306750234,0.8970937877958097,-0.14804985212459754,-0.1860096520270903,118.93570343280835
47,ETF_GTAA_L12_top2,ETF Rotation,0.08007379845457963,0.18918699377985382,-0.05249081809788292,0.03058402678188865,0.3727137991473799,1.083713011059466,-0.15204411854374933,-0.2654515215918878,118.91869937798538
48,ETF_GTAA_L3_top1,ETF Rotation,0.08167975840774622,0.18809162024631876,-0.05088485814471633,0.02948865324835359,0.3533052545504124,0.8948018261583275,-0.24697109093623681,-0.1761807195287307,118.80916202463187
